name,value
Description_Softwares,Visual C++ Compiler/Tools Premium X86 X64 Cross Resource Package
IdentifyingNumber_Softwares,{97991820-3CE6-35AA-B3D1-2DD44B09214F}
InstallDate_Softwares,20170209
InstallSource_Softwares,C:\ProgramData\Package Cache\{97991820-3CE6-35AA-B3D1-2DD44B09214F}v14.0.24210\packages\VisualC_D14\VC_PremTools.X86.X64.Res\enu\
InstallState_Softwares,5
Language_Softwares,1033
LocalPackage_Softwares,C:\Windows\Installer\12359d8c.msi
Name_Softwares,Visual C++ Compiler/Tools Premium X86 X64 Cross Resource Package
PackageCache_Softwares,C:\Windows\Installer\12359d8c.msi
PackageCode_Softwares,{BF674C6F-8E57-4282-BAE2-8FD593D77293}
PackageName_Softwares,VC_PremTools.X86.X64.Res.msi
Vendor_Softwares,Microsoft Corporation
Version_Softwares,14.0.24210
WordCount_Softwares,2
AssignmentType_Softwares,1
Caption_Softwares,Microsoft Visual Studio 2015 Performance Collection Tools
Description_Softwares,Microsoft Visual Studio 2015 Performance Collection Tools
IdentifyingNumber_Softwares,{FCC6E820-B5DB-454E-96E3-B6182DDEEC8D}
InstallDate_Softwares,20170209
InstallSource_Softwares,C:\ProgramData\Package Cache\{FCC6E820-B5DB-454E-96E3-B6182DDEEC8D}v14.0.23107\packages\PerformanceCollectionTools\
InstallState_Softwares,5
Language_Softwares,1033
LocalPackage_Softwares,C:\Windows\Installer\12359fe9.msi
Name_Softwares,Microsoft Visual Studio 2015 Performance Collection Tools
PackageCache_Softwares,C:\Windows\Installer\12359fe9.msi
PackageCode_Softwares,{809F3FC5-18DC-47AC-BF38-48BD612B6A77}
PackageName_Softwares,PerformanceCollectionTools_amd64.msi
Vendor_Softwares,Microsoft Corporation
Version_Softwares,14.0.23107
WordCount_Softwares,2
AssignmentType_Softwares,1
Caption_Softwares,Universal CRT Headers Libraries and Sources
Description_Softwares,Universal CRT Headers Libraries and Sources
IdentifyingNumber_Softwares,{8BFBEC30-33CC-13B4-849F-3B036F27466A}
InstallDate_Softwares,20170209
InstallSource_Softwares,C:\ProgramData\Package Cache\{8BFBEC30-33CC-13B4-849F-3B036F27466A}v10.0.26624\packages\Win10_UniversalCRTSDK\10240\
InstallState_Softwares,5
Language_Softwares,1033
LocalPackage_Softwares,C:\Windows\Installer\12a3056d.msi
Name_Softwares,Universal CRT Headers Libraries and Sources
PackageCache_Softwares,C:\Windows\Installer\12a3056d.msi
PackageCode_Softwares,{8331D3A4-DFB1-4EB8-A510-F280D232CA9C}
PackageName_Softwares,Universal CRT Headers Libraries and Sources-x86_en-us.msi
Vendor_Softwares,Microsoft Corporation
Version_Softwares,10.0.26624
WordCount_Softwares,2
AssignmentType_Softwares,1
Caption_Softwares,IIS 10.0 Express
Description_Softwares,IIS 10.0 Express
IdentifyingNumber_Softwares,{13FD7E30-D2F1-498D-ABC2-A4242DB6610E}
InstallDate_Softwares,20170209
InstallSource_Softwares,C:\ProgramData\Package Cache\{13FD7E30-D2F1-498D-ABC2-A4242DB6610E}v10.0.1736\packages\IISExpress\
InstallState_Softwares,5
Language_Softwares,1033
LocalPackage_Softwares,C:\Windows\Installer\1235a044.msi
Name_Softwares,IIS 10.0 Express
PackageCache_Softwares,C:\Windows\Installer\1235a044.msi
PackageCode_Softwares,{45399810-735C-4909-9398-BCE090DD6749}
PackageName_Softwares,iisexpress_x64_en-US.msi
Vendor_Softwares,Microsoft Corporation
Version_Softwares,10.0.1736
WordCount_Softwares,2
AssignmentType_Softwares,1
Caption_Softwares,Microsoft Visual Studio 2015 Performance Collection Tools - ENU
Description_Softwares,Microsoft Visual Studio 2015 Performance Collection Tools - ENU
IdentifyingNumber_Softwares,{3AE40040-2F48-4617-9228-49E999738BDB}
InstallDate_Softwares,20170209
InstallSource_Softwares,C:\ProgramData\Package Cache\{3AE40040-2F48-4617-9228-49E999738BDB}v14.0.23107\packages\PerformanceCollectionTools\
InstallState_Softwares,5
Language_Softwares,1033
LocalPackage_Softwares,C:\Windows\Installer\12359fef.msi
Name_Softwares,Microsoft Visual Studio 2015 Performance Collection Tools - ENU
PackageCache_Softwares,C:\Windows\Installer\12359fef.msi
PackageCode_Softwares,{6AB4BDD2-AC22-4903-BFF6-DF4420B9A3E8}
PackageName_Softwares,PerformanceCollectionTools_amd64_enu_LanguagePack.msi
Vendor_Softwares,Microsoft Corporation
Version_Softwares,14.0.23107
WordCount_Softwares,2
AssignmentType_Softwares,1
Caption_Softwares,Visual C++ IDE Core Professional Plus Resource Package
Description_Softwares,Visual C++ IDE Core Professional Plus Resource Package
